"SubgroupID","ID_RSSD"
"0","1020340"
"0","75633"
"0","1245415"
"1","1245415"
"1","75633"
"1","1020340"
"2","1138487"
"2","2509"
"2","1113279"
"3","1113907"
"3","2509"
"3","1113279"
"4","1104035"
"4","112163"
"4","1862045"
"5","1862045"
"5","112163"
"5","1104035"
"6","1083822"
"6","271136"
"6","1232040"
"7","3940714"
"7","272218"
"7","1888193"
"8","1142774"
"8","238241"
"8","1134322"
"9","1134322"
"9","238241"
"9","1142774"
"10","1832815"
"10","470050"
"10","1102312"
"11","1102312"
"11","470050"
"11","1832815"
"12","1027095"
"12","167565"
"12","1023538"
"13","2741679"
"13","167565"
"13","1023538"
"14","1584114"
"14","476810"
"14","1042351"
"15","2990244"
"15","913940"
"15","1199705"
"16","1073757"
"16","480228"
"16","2173092"
"17","2173092"
"17","480228"
"17","1073757"
"18","1379552"
"18","480228"
"18","2173092"
"19","1199769"
"19","480228"
"19","1073757"
"20","3587146"
"20","541101"
"20","1033470"
"21","1033470"
"21","541101"
"21","3587146"
"22","1827811"
"22","548351"
"22","1108350"
"23","1055959"
"23","610052"
"23","1236440"
"24","3209813"
"24","504713"
"24","1119794"
"25","1119794"
"25","504713"
"25","3209813"
"26","2724645"
"26","504713"
"26","1070251"
"27","1199479"
"27","504713"
"27","1070251"
"28","1199479"
"28","504713"
"28","2724645"
"29","2724645"
"29","504713"
"29","1199479"
"30","1070251"
"30","504713"
"30","1199479"
"31","1119794"
"31","504713"
"31","1070251"
"32","1119794"
"32","504713"
"32","2724645"
"33","2724645"
"33","504713"
"33","1119794"
"34","1119794"
"34","504713"
"34","1199479"
"35","1131899"
"35","586960"
"35","2964601"
"36","2964601"
"36","586960"
"36","1131899"
"37","1824137"
"37","637451"
"37","1247893"
"38","1247893"
"38","637451"
"38","1824137"
"39","1824137"
"39","637451"
"39","1106392"
"40","1247893"
"40","637451"
"40","1106392"
"41","1106392"
"41","637451"
"41","1824137"
"42","2730628"
"42","645465"
"42","1135897"
"43","1102367"
"43","682563"
"43","1022661"
"44","1022661"
