"SubgroupID","ID_RSSD"
"0","484422"
"0","3370441"
"0","451965"
"1","484422"
"1","3721931"
"1","451965"
"2","484422"
"2","3410066"
"2","451965"
"3","484422"
"3","3842836"
"3","451965"
"4","484422"
"4","3394960"
"4","451965"
"5","484422"
"5","761374"
"5","451965"
"6","484422"
"6","3321706"
"6","451965"
"7","484422"
"7","3721221"
"7","451965"
"8","484422"
"8","3721155"
"8","451965"
"9","484422"
"9","3431100"
"9","451965"
"10","484422"
"10","2738615"
"10","451965"
"11","484422"
"11","2042068"
"11","451965"
"12","484422"
"12","2531825"
"12","451965"
"13","484422"
"13","3665866"
"13","451965"
"14","484422"
"14","3606364"
"14","451965"
"15","484422"
"15","2723488"
"15","451965"
"16","484422"
"16","3221730"
"16","451965"
"17","484422"
"17","2924548"
"17","451965"
"18","484422"
"18","3313336"
"18","451965"
