"SubgroupID","ID_RSSD"
"0","42420"
"1","30810"
"2","58243"
"3","43173"
"4","74140"
"5","15536"
"6","59316"
"7","60143"
"8","75633"
"9","61122"
"10","34537"
"11","61476"
"12","34742"
"13","35301"
"14","77851"
"15","63069"
"16","37640"
"17","453370"
"18","2509"
"19","73901"
"20","23504"
"21","65858"
"22","24837"
"23","12311"
"24","45627"
"25","83638"
"26","3850"
"27","13103"
"28","85472"
"29","141556"
"30","128904"
"31","18201"
"32","115575"
"33","142955"
"34","143662"
"35","130541"
"36","368175"
"37","132107"
"38","728742"
"39","146672"
"40","7018"
"41","133850"
"42","1457003"
"43","8417"
"44","107244"
"45","161273"
"46","148238"
"47","54375"
"48","121642"
"49","122854"
"50","111942"
"51","112163"
"52","137652"
"53","137915"
"54","112837"
"55","97804"
"56","125154"
"57","165628"
"58","169653"
"59","171768"
"60","212465"
"61","174572"
"62","25076"
"63","214807"
"64","202907"
"65","229801"
"66","229913"
"67","242444"
"68","216922"
"69","204004"
"70","233031"
"71","244149"
"72","233527"
"73","233554"
"74","245276"
"75","234739"
"76","208244"
"77","236153"
"78","236706"
"79","28349"
"80","210434"
"81","197478"
"82","249612"
"83","101233"
"84","268006"
"85","310978"
"86","873138"
"87","283438"
"88","311845"
"89","130439"
"90","130943"
"91","324340"
"92","259330"
"93","431743"
"94","260055"
"95","280044"
"96","272218"
"97","326979"
"98","363415"
"99","960841"
"100","289702"
"101","328777"
"102","316840"
"103","90403"
"104","304913"
"105","329550"
"106","132554"
"107","276579"
"108","292908"
"109","132415"
"110","320052"
"111","320119"
"112","278555"
"113","339858"
"114","278818"
"115","280110"
"116","354310"
"117","342634"
"118","397531"
"119","762755"
"120","398668"
"121","361055"
"122","348104"
"123","413141"
"124","413208"
"125","162001"
"126","348720"
"127","711650"
"128","416245"
"129","365325"
"130","352772"
"131","379920"
"132","395238"
"133","124111"
"134","422433"
"135","431172"
"136","470050"
"137","126254"
"138","456045"
"139","203940"
"140","433608"
"141","403946"
"142","473501"
"143","473930"
"144","435077"
"145","436159"
"146","460033"
"147","169439"
"148","474759"
"149","474919"
"150","437914"
"151","476810"
"152","450856"
"153","477303"
"154","477639"
"155","913940"
"156","485559"
"157","451965"
"158","463735"
"159","408642"
"160","497404"
"161","480228"
"162","509950"
"163","510871"
"164","480853"
"165","489623"
"166","525549"
"167","595506"
"168","539032"
"169","511832"
"170","546003"
"171","491224"
"172","187077"
"173","501105"
"174","541101"
"175","527954"
"176","200677"
"177","529958"
"178","502849"
"179","548771"
"180","517049"
"181","542939"
"182","504713"
"183","494261"
"184","506922"
"185","2388917"
"186","564052"
"187","577128"
"188","522605"
"189","590220"
"190","537449"
"191","537560"
"192","565750"
"193","557858"
"194","604725"
"195","606046"
"196","245333"
"197","618807"
"198","177975"
"199","594433"
"200","594947"
"201","636007"
"202","584377"
"203","595869"
"204","572374"
"205","610164"
"206","911405"
"207","625065"
"208","625654"
"209","636771"
"210","637451"
"211","599764"
"212","601050"
"213","601443"
"214","246910"
"215","645625"
"216","659855"
"217","63304"
"218","181851"
"219","661308"
"220","96209"
"221","663245"
"222","699105"
"223","687009"
"224","688079"
"225","375409"
"226","3448788"
"227","676478"
"228","704559"
"229","701062"
"230","294809"
"231","702117"
"232","506052"
"233","680354"
"234","656377"
"235","919308"
"236","693224"
"237","693345"
"238","682563"
"239","694904"
"240","613008"
"241","613400"
"242","281416"
"243","709602"
"244","741330"
"245","697231"
"246","754853"
"247","522557"
"248","310101"
"249","717924"
"250","743679"
"251","783648"
"252","783871"
"253","771609"
"254","758703"
"255","720317"
"256","745879"
"257","785473"
"258","772008"
"259","157605"
"260","773247"
"261","774132"
"262","736206"
"263","722777"
"264","723112"
"265","299354"
"266","761806"
"267","749242"
"268","763471"
"269","137830"
"270","764030"
"271","355371"
"272","751852"
"273","314967"
"274","778738"
"275","812557"
"276","273608"
"277","800657"
"278","813572"
"279","782306"
"280","1396652"
"281","802866"
"282","853804"
"283","853952"
"284","815277"
"285","816603"
"286","795968"
"287","828651"
"288","302544"
"289","804963"
"290","805250"
"291","303046"
"292","817824"
"293","818401"
"294","316457"
"295","832546"
"296","833404"
"297","871769"
"298","882701"
"299","852218"
"300","852320"
"301","852544"
"302","876634"
"303","678137"
"304","866000"
"305","866121"
"306","852704"
"307","900306"
"308","886978"
"309","782904"
"310","279806"
"311","310727"
"312","928421"
"313","928618"
"314","940311"
"315","881478"
"316","892205"
"317","906915"
"318","917742"
"319","918918"
"320","753267"
"321","337500"
"322","933023"
"323","933256"
"324","909514"
"325","956938"
"326","933377"
"327","933975"
"328","620305"
"329","934329"
"330","958727"
"331","936136"
"332","959304"
"333","936855"
"334","370271"
"335","938019"
"336","950141"
"337","972406"
"338","636043"
"339","1011526"
"340","963945"
"341","1023220"
"342","975751"
"343","357375"
"344","179858"
"345","976703"
"346","1024580"
"347","1025130"
"348","1025309"
"349","1025354"
"350","1025541"
"351","1025608"
"352","1001152"
"353","977045"
"354","977250"
"355","991340"
"356","1002878"
"357","1026632"
"358","1026641"
"359","1026801"
"360","1027648"
"361","978819"
"362","979375"
"363","1039164"
"364","1039502"
"365","980661"
"366","1028533"
"367","1029222"
"368","1029259"
"369","1017939"
"370","980960"
"371","1041158"
"372","1042539"
"373","1054859"
"374","1055089"
"375","1055100"
"376","1055137"
"377","1030170"
"378","1031449"
"379","1032325"
"380","1007015"
"381","1055539"
"382","1055623"
"383","1020180"
"384","1020201"
"385","1020395"
"386","1020667"
"387","1032464"
"388","1032473"
"389","1032781"
"390","1033050"
"391","1042614"
"392","1044412"
"393","1045848"
"394","1068780"
"395","1068838"
"396","1068968"
"397","1056330"
"398","1056415"
"399","1056581"
"400","1056732"
"401","1056769"
"402","1056835"
"403","1046443"
"404","1057252"
"405","1057430"
"406","1057588"
"407","1033407"
"408","1035326"
"409","1035362"
"410","1069004"
"411","1069778"
"412","1069899"
"413","1069974"
"414","1070019"
"415","1048009"
"416","1048773"
"417","1048812"
"418","1057896"
"419","1058343"
"420","1020902"
"421","1020920"
"422","1021682"
"423","1022670"
"424","1022764"
"425","1035399"
"426","1036051"
"427","1009354"
"428","1070345"
"429","1070448"
"430","1070541"
"431","1070578"
"432","1070644"
"433","1058398"
"434","390532"
"435","1058558"
"436","1059555"
"437","1076217"
"438","1076262"
"439","1076431"
"440","1048867"
"441","1049341"
"442","1049350"
"443","376255"
"444","1049828"
"445","1059591"
"446","1059715"
"447","1059733"
"448","1081136"
"449","1071191"
"450","1071276"
"451","1036707"
"452","1037003"
"453","403106"
"454","1037209"
"455","1094314"
"456","1094480"
"457","1094556"
"458","1050178"
"459","1050712"
"460","1060104"
"461","1060355"
"462","1060485"
"463","1060524"
"464","1060627"
"465","1071306"
"466","1071388"
"467","1071397"
"468","1071454"
"469","1081510"
"470","1081613"
"471","1081716"
"472","1081873"
"473","1051009"
"474","1051063"
"475","1051081"
"476","418324"
"477","1061316"
"478","1071623"
"479","1051380"
"480","1051410"
"481","1051465"
"482","1082067"
"483","1061624"
"484","1061679"
"485","1061754"
"486","1061893"
"487","1082777"
"488","1094640"
"489","1094828"
"490","1095058"
"491","1095272"
"492","1095414"
"493","1095469"
"494","1095674"
"495","1051504"
"496","1051625"
"497","1051979"
"498","1062135"
"499","1095722"
"500","1095843"
"501","156943"
"502","1076691"
"503","1078846"
"504","1078903"
"505","1083318"
"506","1083895"
"507","1062528"
"508","1062706"
"509","1052293"
"510","1052387"
"511","1096046"
"512","1096448"
"513","1096484"
"514","1063039"
"515","1063075"
"516","1063141"
"517","1053272"
"518","1053311"
"519","1053320"
"520","1053339"
"521","1053357"
"522","1053496"
"523","1053580"
"524","1096505"
"525","1096550"
"526","1097025"
"527","1063301"
"528","1084922"
"529","1085013"
"530","1072134"
"531","1073757"
"532","1085170"
"533","1085330"
"534","1064175"
"535","656733"
"536","1064278"
"537","1097173"
"538","1097182"
"539","1097249"
"540","1097306"
"541","1097445"
"542","1054000"
"543","1054091"
"544","1079067"
"545","1079562"
"546","1080595"
"547","1085509"
"548","1064429"
"549","1064465"
"550","1064652"
"551","1064728"
"552","1097678"
"553","1097744"
"554","1097922"
"555","1086131"
"556","1064915"
"557","1054765"
"558","1116421"
"559","1116609"
"560","1098303"
"561","1086533"
"562","1086627"
"563","1080803"
"564","1103878"
"565","1065967"
"566","1098620"
"567","1073896"
"568","1074156"
"569","1075612"
"570","1104231"
"571","1104389"
"572","1066003"
"573","1066209"
"574","1066414"
"575","1098796"
"576","1098844"
"577","1098929"
"578","1117129"
"579","1117316"
"580","1117464"
"581","1086814"
"582","1067000"
"583","1067028"
"584","1075881"
"585","1076123"
"586","1076150"
"587","1125290"
"588","1104923"
"589","1105283"
"590","1099672"
"591","1099748"
"592","1125357"
"593","1125423"
"594","1125441"
"595","1125450"
"596","1125553"
"597","1125580"
"598","1117688"
"599","1118238"
"600","1118340"
"601","1099917"
"602","1099980"
"603","1125674"
"604","1125740"
"605","1125795"
"606","1125900"
"607","1105470"
"608","1100000"
"609","1100091"
"610","1118621"
"611","1118760"
"612","1118797"
"613","1118818"
"614","1118854"
"615","1126037"
"616","1126046"
"617","1126149"
"618","1126185"
"619","1090222"
"620","1090295"
"621","1090482"
"622","1119404"
"623","1126318"
"624","1126327"
"625","1126354"
"626","1126466"
"627","1126484"
"628","1106990"
"629","1068025"
"630","1068043"
"631","1068191"
"632","1100578"
"633","1100813"
"634","1107090"
"635","440325"
"636","1126523"
"637","1126626"
"638","1126671"
"639","1126729"
"640","1126747"
"641","1126877"
"642","1136595"
"643","1136803"
"644","1136988"
"645","1119794"
"646","1137172"
"647","1107700"
"648","1137453"
"649","1137510"
"650","1137770"
"651","1127650"
"652","1108097"
"653","1108350"
"654","1108501"
"655","1108707"
"656","1127847"
"657","1127856"
"658","1127940"
"659","1128040"
"660","1128134"
"661","1128228"
"662","1138209"
"663","1138450"
"664","1102170"
"665","1102312"
"666","1102367"
"667","1102451"
"668","1108985"
"669","1109094"
"670","1120754"
"671","1121229"
"672","1128358"
"673","1128424"
"674","1128451"
"675","1128460"
"676","1138610"
"677","1138786"
"678","1109496"
"679","1109571"
"680","1109599"
"681","1109601"
"682","1128527"
"683","1128675"
"684","1153248"
"685","1102675"
"686","1102714"
"687","1139103"
"688","1139279"
"689","1128723"
"690","1128769"
"691","1128880"
"692","1121340"
"693","1121788"
"694","1121881"
"695","1121966"
"696","1121984"
"697","1121993"
"698","1139363"
"699","1139532"
"700","1155420"
"701","1109825"
"702","1109834"
"703","1109964"
"704","1110876"
"705","1173264"
"706","1173330"
"707","1129065"
"708","1129319"
"709","1129328"
"710","1129382"
"711","1139998"
"712","1129515"
"713","1122057"
"714","1122132"
"715","1122178"
"716","1122217"
"717","1122301"
"718","1122310"
"719","1122413"
"720","1122422"
"721","1122468"
"722","1140127"
"723","1140190"
"724","1173965"
"725","1174177"
"726","1130249"
"727","1174588"
"728","1174793"
"729","1175156"
"730","1175361"
"731","1130548"
"732","1130904"
"733","456456"
"734","1141227"
"735","1141348"
"736","1122897"
"737","1122990"
"738","1123018"
"739","1123072"
"740","1123223"
"741","1131013"
"742","1131406"
"743","1141487"
"744","1141647"
"745","1131488"
"746","1141889"
"747","1141919"
"748","1141991"
"749","1123401"
"750","1123616"
"751","1123670"
"752","1123719"
"753","1111435"
"754","1111471"
"755","1112094"
"756","1112870"
"757","1131750"
"758","1131778"
"759","1131853"
"760","1131899"
"761","1142336"
"762","1177600"
"763","1142587"
"764","1123791"
"765","1123803"
"766","1123812"
"767","1123821"
"768","1123858"
"769","1123885"
"770","1123951"
"771","1124024"
"772","1132449"
"773","1132672"
"774","484422"
"775","633501"
"776","1124060"
"777","1124097"
"778","1124202"
"779","1124257"
"780","1143203"
"781","1180235"
"782","1180244"
"783","1180767"
"784","1180860"
"785","1115349"
"786","1193945"
"787","1124659"
"788","1124789"
"789","1133286"
"790","1133437"
"791","1133455"
"792","1133503"
"793","1133549"
"794","1143913"
"795","1144040"
"796","1133615"
"797","1133781"
"798","1181465"
"799","1181698"
"800","1181700"
"801","1182471"
"802","1125003"
"803","1125030"
"804","1125058"
"805","1202762"
"806","1134498"
"807","1134564"
"808","400637"
"809","1134845"
"810","1183272"
"811","1183339"
"812","1145476"
"813","1146295"
"814","1146316"
"815","1202883"
"816","1202986"
"817","423355"
"818","1203125"
"819","1183414"
"820","1183683"
"821","1183777"
"822","1134872"
"823","1135002"
"824","1135048"
"825","1135114"
"826","1170151"
"827","1170254"
"828","1183834"
"829","1184475"
"830","1147470"
"831","1203451"
"832","1203509"
"833","1203590"
"834","1203602"
"835","1135628"
"836","1135824"
"837","1170496"
"838","1170786"
"839","1149885"
"840","1197710"
"841","1197804"
"842","1199563"
"843","1199602"
"844","1199611"
"845","1135972"
"846","1136009"
"847","1136269"
"848","1203714"
"849","1203769"
"850","1203778"
"851","1203835"
"852","1203853"
"853","1203899"
"854","1203910"
"855","1170795"
"856","1171215"
"857","1171475"
"858","1184868"
"859","1186198"
"860","1171699"
"861","1171840"
"862","1203974"
"863","1204195"
"864","1204252"
"865","460855"
"866","1150144"
"867","1150621"
"868","1171886"
"869","1172128"
"870","1172258"
"871","1204430"
"872","1204627"
"873","1199844"
"874","1199974"
"875","1200142"
"876","1186312"
"877","1186451"
"878","1172913"
"879","1243037"
"880","1243055"
"881","486752"
"882","1243167"
"883","1243176"
"884","1243185"
"885","1243194"
"886","1243206"
"887","1204784"
"888","1205062"
"889","1200311"
"890","1200405"
"891","1200478"
"892","1200629"
"893","1200665"
"894","1200692"
"895","1205222"
"896","1243309"
"897","1243336"
"898","1190476"
"899","1190878"
"900","1243596"
"901","1243608"
"902","1243701"
"903","1231780"
"904","1231968"
"905","1232442"
"906","1232497"
"907","1232545"
"908","1200777"
"909","1200852"
"910","1201439"
"911","1201448"
"912","1201457"
"913","1206313"
"914","1206368"
"915","1244043"
"916","1244098"
"917","1201505"
"918","1201532"
"919","1201671"
"920","1201738"
"921","1201756"
"922","1201804"
"923","1201813"
"924","1206546"
"925","1206658"
"926","1216321"
"927","1245068"
"928","1245228"
"929","1245321"
"930","1206760"
"931","1206911"
"932","1201925"
"933","1201952"
"934","1245415"
"935","1245581"
"936","1207486"
"937","1235386"
"938","1237447"
"939","1238471"
"940","1238565"
"941","1238770"
"942","1245741"
"943","1207860"
"944","1207981"
"945","489913"
"946","1246038"
"947","1246122"
"948","1246159"
"949","1246252"
"950","1208120"
"951","1246533"
"952","436711"
"953","1238967"
"954","1239254"
"955","1239339"
"956","1239629"
"957","910051"
"958","1265842"
"959","140755"
"960","1208531"
"961","1208559"
"962","1208595"
"963","1247398"
"964","1247428"
"965","1247455"
"966","1247576"
"967","1209136"
"968","1241707"
"969","1247679"
"970","1247987"
"971","1241985"
