"SubgroupID","ID_RSSD"
"0","698537"
"0","1385647"
"1","24837"
"1","1171596"
"2","8417"
"2","1260333"
"3","270531"
"3","3138098"
"4","2699109"
"4","3102651"
"5","348104"
"5","1174300"
"6","187077"
"6","1274442"
"7","187077"
"7","1036088"
"8","187077"
"8","1274433"
"9","187077"
"9","1036145"
"10","187077"
"10","1274590"
"11","187077"
"11","1274509"
"12","187077"
"12","1274554"
"13","187077"
"13","1274518"
"14","187077"
"14","1274581"
"15","187077"
"15","1036060"
"16","187077"
"16","1274497"
"17","187077"
"17","1036136"
"18","187077"
"18","1036109"
"19","187077"
"19","1274563"
"20","187077"
"20","1274602"
"21","187077"
"21","1274527"
"22","187077"
"22","1036097"
"23","187077"
"23","1035821"
"24","187077"
"24","1274488"
"25","187077"
"25","1296761"
"26","187077"
"26","1036127"
"27","187077"
"27","1036118"
"28","187077"
"28","1274219"
"29","187077"
"29","1274479"
"30","187077"
"30","1274545"
"31","187077"
"31","1274451"
"32","187077"
"32","1036079"
"33","187077"
"33","1274460"
"34","187077"
"34","1274572"
"35","187077"
"35","1274536"
"36","564052"
"36","2236353"
"37","564052"
"37","2236362"
"38","2949710"
"38","2330158"
"39","178075"
"39","1299089"
"40","179670"
"40","1270154"
"41","179670"
"41","1270088"
"42","179670"
"42","1270211"
"43","179670"
"43","1270136"
"44","179670"
"44","1270145"
"45","179670"
"45","1270097"
"46","625654"
"46","1053508"
"47","3448788"
"47","3354058"
"48","3448788"
"48","3387346"
"49","3448788"
"49","3284892"
"50","3448788"
"50","3290884"
"51","3448788"
"51","3365812"
"52","3448788"
"52","2562043"
"53","3448788"
"53","3313288"
"54","3448788"
"54","3314744"
"55","3448788"
"55","3404382"
"56","3365812"
"56","3378698"
"57","3365812"
"57","3379033"
"58","678557"
"58","1051960"
"59","1190533"
"59","1080876"
"60","1190533"
"60","1080858"
"61","1190533"
"61","1080821"
"62","1190533"
"62","1080867"
"63","763471"
"63","1073793"
"64","763471"
"64","1073805"
"65","763471"
"65","1308208"
"66","313513"
"66","1102929"
"67","302544"
"67","1978722"
"68","245977"
"68","2027999"
"69","886978"
"69","1463264"
"70","886978"
"70","1310603"
"71","886978"
"71","1310546"
"72","886978"
"72","1310612"
"73","1023145"
"73","738657"
"74","1023172"
"74","699253"
"75","1023341"
"75","470032"
"76","1025309"
"76","795968"
"77","1025541"
"77","239266"
"78","1025541"
"78","772268"
"79","1025541"
"79","697763"
"80","1025608"
"80","980661"
"81","1025662"
"81","622774"
"82","1025662"
"82","1345052"
"83","1025998"
"83","507068"
"84","1026632"
"84","1026641"
"85","1027947"
"85","406974"
"86","978819"
"86","1183450"
"87","1027992"
"87","207872"
"88","1028382"
"88","397063"
"89","1028533"
"89","2503792"
"90","1028533"
"90","777366"
"91","1029222"
"91","933966"
"92","1029259"
"92","1152184"
"93","1029259"
"93","803368"
"94","1041439"
"94","1041448"
"95","1054840"
"95","1454"
"96","1054859"
"96","738255"
"97","1054859"
"97","1351204"
"98","1054895"
"98","570651"
"99","1055089"
"99","400954"
"100","1055100"
"100","358756"
"101","1055119"
"101","1055128"
"102","1055119"
"102","956956"
"103","1055137"
"103","300353"
"104","1055155"
"104","482156"
"105","1029286"
"105","270465"
"106","1029295"
"106","351560"
"107","1029464"
"107","58971"
"108","1030170"
"108","100562"
"109","1030947"
"109","455972"
"110","1031449"
"110","802866"
"111","1031515"
"111","403067"
"112","1055351"
"112","49652"
"113","1055351"
"113","1055360"
"114","1055539"
"114","647759"
"115","1055584"
"115","209559"
"116","1055593"
"116","157856"
"117","1055605"
"117","286251"
"118","1055623"
"118","569356"
"119","1055669"
"119","991555"
"120","1055687"
"120","1004256"
"121","1055696"
"121","140157"
"122","1020180"
"122","106153"
"123","1020180"
"123","503453"
"124","1020180"
"124","119359"
"125","1020180"
"125","173155"
"126","1020180"
"126","982656"
"127","1020180"
"127","800657"
"128","1020180"
"128","275750"
"129","1020180"
"129","866653"
"130","1020180"
"130","376059"
"131","1020180"
"131","824550"
"132","1020180"
"132","679853"
"133","1020180"
"133","952453"
"134","1020180"
"134","871059"
"135","1020180"
"135","212353"
"136","1020180"
"136","959658"
"137","1020180"
"137","951559"
"138","1020180"
"138","224655"
"139","1020180"
"139","735759"
"140","1020180"
"140","398556"
"141","1020180"
"141","268556"
"142","1020180"
"142","760555"
"143","1020180"
"143","199856"
"144","1020180"
"144","898654"
