"SubgroupID","ID_RSSD"
"0","130"
"0","1230194"
"1","14838"
"1","1231285"
"2","57358"
"2","1079946"
"3","17259"
"3","1062715"
"4","2927615"
"4","2926270"
"5","44255"
"5","1026511"
"6","199959"
"6","1106918"
"7","784953"
"7","1106918"
"8","698537"
"8","1209408"
"9","311201"
"9","1231557"
"10","78157"
"10","1139671"
"11","252256"
"11","1054952"
"12","73433"
"12","1231454"
"13","9357"
"13","1020733"
"14","3369959"
"14","3370012"
"15","65513"
"15","1135477"
"16","60312"
"16","1073364"
"17","24837"
"17","484422"
"18","61917"
"18","1100886"
"19","3333594"
"19","3333606"
"20","3487358"
"20","3487376"
"21","113601"
"21","1245983"
"22","47135"
"22","1241707"
"23","18041"
"23","1132953"
"24","2356046"
"24","2356073"
"25","76135"
"25","1200115"
"26","3267934"
"26","3172001"
"27","3267934"
"27","1247334"
"28","47957"
"28","1026511"
"29","2218425"
"29","1205053"
"30","19253"
"30","1105313"
"31","3195037"
"31","3172001"
"32","3195037"
"32","1247334"
"33","1494295"
"33","1826010"
"34","20343"
"34","1201475"
"35","62334"
"35","1070925"
"36","62419"
"36","1199826"
"37","62642"
"37","1201000"
"38","64431"
"38","1199826"
"39","65018"
"39","1049828"
"40","35217"
"40","1378957"
"41","35217"
"41","1238565"
"42","35619"
"42","1100550"
"43","36111"
"43","1242227"
"44","3444212"
"44","3444191"
"45","7737"
"45","1232835"
"46","7755"
"46","1054792"
"47","7849"
"47","1199545"
"48","48468"
"48","1199497"
"49","1009635"
"49","1074633"
"50","147651"
"50","1137293"
"51","332028"
"51","1068623"
"52","2942814"
"52","2856023"
"53","2402626"
"53","1070448"
"54","93619"
"54","35301"
"55","76818"
"55","1245992"
"56","173548"
"56","1141469"
"57","3601079"
"57","3487376"
"58","21948"
"58","279431"
"59","2934930"
"59","2934921"
"60","22909"
"60","1246168"
"61","65755"
"61","1054792"
"62","66015"
"62","1135217"
"63","436319"
"63","1116298"
"64","66613"
"64","1079076"
"65","67115"
"65","1101753"
"66","38665"
"66","1246010"
"67","169877"
"67","736309"
"68","212465"
"68","1231351"
"69","186351"
"69","1093634"
"70","80824"
"70","1072291"
"71","2257125"
"71","1249066"
"72","884349"
"72","1207011"
"73","606831"
"73","477947"
"74","2761967"
"74","2761976"
"75","267241"
"75","1199705"
"76","1357260"
"76","1200889"
"77","82958"
"77","1050301"
"78","90346"
"78","1199705"
"79","201834"
"79","1234594"
"80","26439"
"80","1111864"
"81","68635"
"81","1199497"
"82","68710"
"82","1100550"
"83","188430"
"83","1130511"
"84","229913"
"84","1238770"
"85","230759"
"85","1104231"
"86","2359878"
"86","2357221"
"87","1825808"
"87","1061763"
"88","3353266"
"88","3353275"
"89","3130298"
"89","3130289"
"90","207050"
"90","1237317"
"91","207872"
"91","1027992"
"92","50667"
"92","1020340"
"93","115258"
"93","1105591"
"94","128511"
"94","1129328"
"95","283867"
"95","1100327"
"96","2855156"
"96","2855138"
"97","1451739"
"97","1059715"
"98","2883038"
"98","1134322"
"99","431743"
"99","1239151"
"100","2699109"
"100","1117679"
"101","144409"
"101","1110997"
"102","157959"
"102","1043134"
"103","89162"
"103","1023538"
"104","1167393"
"104","1247660"
"105","316840"
"105","1097025"
"106","90618"
"106","1120754"
"107","2332545"
"107","1134845"
"108","304913"
"108","1032473"
"109","276645"
"109","1144095"
"110","306159"
"110","1127025"
"111","3393824"
"111","3393815"
"112","808457"
"112","1109964"
"113","132415"
"113","1238789"
"114","783013"
"114","1113279"
"115","333650"
"115","1137855"
"116","160258"
"116","1049510"
"117","1186983"
"117","1246672"
"118","2183297"
"118","1070804"
"119","354552"
"119","1067532"
"120","382069"
"120","1104231"
"121","92742"
"121","1042351"
"122","396244"
"122","1119404"
"123","93459"
"123","1239937"
"124","106630"
"124","1231463"
"125","384018"
"125","1242834"
"126","135676"
"126","672715"
"127","348104"
"127","35301"
"128","2973872"
"128","1059715"
"129","1392654"
"129","1059715"
"130","162001"
"130","1110344"
"131","162056"
"131","1043134"
"132","162672"
"132","1035296"
"133","162766"
"133","1031065"
"134","163174"
"134","1112076"
"135","375566"
"135","1137538"
"136","163213"
"136","1130575"
"137","351560"
"137","1029295"
"138","164779"
"138","748601"
"139","2747242"
"139","2747251"
"140","352651"
"140","1110232"
"141","150259"
"141","1105500"
"142","831857"
"142","1107821"
"143","3110188"
"143","2815477"
"144","96919"
"144","1238284"
"145","426057"
"145","1109777"
"146","2403548"
"146","2008185"
"147","97859"
"147","1049154"
"148","393953"
"148","1107531"
"149","124111"
"149","298816"
"150","455253"
"150","1025774"
"151","483153"
"151","1239290"
"152","125716"
"152","355214"
"153","126209"
"153","1070082"
"154","401755"
"154","1067970"
"155","167565"
"155","1023538"
"156","403067"
"156","1031515"
"157","167770"
"157","497776"
"158","473266"
"158","1103878"
"159","153531"
"159","1022380"
"160","449038"
"160","1042351"
"161","406974"
"161","1027947"
"162","1359590"
"162","1398713"
"163","184151"
"163","1199714"
"164","2846051"
"164","2615770"
"165","1216031"
"165","1116999"
"166","184852"
"166","1049510"
"167","1193440"
"167","1495359"
"168","140513"
"168","1136858"
"169","2572109"
"169","1427275"
"170","168937"
"170","1201028"
"171","240664"
"171","1031207"
"172","240673"
"172","1251498"
"173","172550"
"173","1043134"
"174","186315"
"174","476810"
"175","187077"
"175","1036051"
"176","15620"
"176","1233412"
"177","547550"
"177","1051447"
"178","2267012"
"178","1119048"
"179","200677"
"179","1246887"
"180","1900675"
"180","1968488"
"181","32355"
"181","1199527"
"182","2936840"
"182","2936859"
"183","3620883"
"183","3839984"
"184","3354704"
"184","1054765"
"185","2413510"
"185","1052332"
"186","542939"
"186","1112076"
"187","494261"
"187","1030095"
"188","550354"
"188","1051193"
"189","227115"
"189","1034365"
"190","2503046"
"190","1201916"
"191","2388917"
"191","1427574"
"192","1954584"
"192","1098488"
"193","188207"
"193","1110559"
"194","564052"
